District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01,3,2019,Black,103,593,31,30.1,42,40.8,22,21.4,8,7.8,30,29.1
01,3,2019,Hispanic,271,596,84,31.0,66,24.4,83,30.6,38,14.0,121,44.6
01,3,2019,Multi-Racial,33,s,s,s,s,s,s,s,s,s,s,s
01,3,2019,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,3,2019,White,125,618,2,1.6,16,12.8,26,20.8,81,64.8,107,85.6
01,4,2019,Asian,157,619,9,5.7,16,10.2,31,19.7,101,64.3,132,84.1
01,4,2019,Black,93,589,45,48.4,24,25.8,13,14.0,11,11.8,24,25.8
01,4,2019,Hispanic,272,593,104,38.2,80,29.4,48,17.6,40,14.7,88,32.4
01,4,2019,Multi-Racial,22,s,s,s,s,s,s,s,s,s,s,s
01,4,2019,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,4,2019,White,131,613,11,8.4,27,20.6,26,19.8,67,51.1,93,71.0
01,5,2019,Asian,145,620,13,9.0,19,13.1,22,15.2,91,62.8,113,77.9
01,5,2019,Black,118,587,65,55.1,24,20.3,13,11.0,16,13.6,29,24.6
01,5,2019,Hispanic,278,593,121,43.5,69,24.8,51,18.3,37,13.3,88,31.7
01,5,2019,Multi-Racial,20,619,4,20.0,0,0.0,4,20.0,12,60.0,16,80.0
01,5,2019,Native American,10,583,6,60.0,2,20.0,1,10.0,1,10.0,2,20.0
01,5,2019,White,119,619,8,6.7,9,7.6,24,20.2,78,65.5,102,85.7
01,6,2019,Asian,161,623,7,4.3,9,5.6,30,18.6,115,71.4,145,90.1
01,6,2019,Black,107,589,50,46.7,31,29.0,24,22.4,2,1.9,26,24.3
01,6,2019,Hispanic,256,593,116,45.3,64,25.0,50,19.5,26,10.2,76,29.7
01,6,2019,Multi-Racial,20,s,s,s,s,s,s,s,s,s,s,s
01,6,2019,Native American,4,s,s,s,s,s,s,s,s,s,s,s
01,6,2019,White,114,618,8,7.0,8,7.0,25,21.9,73,64.0,98,86.0
01,7,2019,Asian,162,622,8,4.9,18,11.1,35,21.6,101,62.3,136,84.0
01,7,2019,Black,99,587,53,53.5,28,28.3,11,11.1,7,7.1,18,18.2
01,7,2019,Hispanic,301,595,121,40.2,88,29.2,55,18.3,37,12.3,92,30.6
01,7,2019,Multi-Racial,21,617,2,9.5,4,19.0,4,19.0,11,52.4,15,71.4
01,7,2019,Native American,6,600,2,33.3,2,33.3,1,16.7,1,16.7,2,33.3
01,7,2019,White,121,618,10,8.3,8,6.6,25,20.7,78,64.5,103,85.1
01,8,2019,Asian,115,621,12,10.4,14,12.2,23,20.0,66,57.4,89,77.4
01,8,2019,Black,90,589,61,67.8,17,18.9,8,8.9,4,4.4,12,13.3
01,8,2019,Hispanic,212,598,84,39.6,72,34.0,39,18.4,17,8.0,56,26.4
01,8,2019,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
01,8,2019,Native American,6,s,s,s,s,s,s,s,s,s,s,s
01,8,2019,White,42,607,12,28.6,3,7.1,13,31.0,14,33.3,27,64.3
01,All Grades,2019,Asian,892,620,61,6.8,87,9.8,179,20.1,565,63.3,744,83.4
01,All Grades,2019,Black,610,589,305,50.0,166,27.2,91,14.9,48,7.9,139,22.8
01,All Grades,2019,Hispanic,1590,595,630,39.6,439,27.6,326,20.5,195,12.3,521,32.8
01,All Grades,2019,Multi-Racial,118,623,6,5.1,9,7.6,21,17.8,82,69.5,103,87.3
01,All Grades,2019,Native American,31,589,16,51.6,8,25.8,3,9.7,4,12.9,7,22.6
01,All Grades,2019,White,652,617,51,7.8,71,10.9,139,21.3,391,60.0,530,81.3
01,3,2018,Asian,164,615,15,9.1,26,15.9,35,21.3,88,53.7,123,75.0
01,3,2018,Black,95,590,43,45.3,18,18.9,21,22.1,13,13.7,34,35.8
01,3,2018,Hispanic,279,595,100,35.8,58,20.8,79,28.3,42,15.1,121,43.4
01,3,2018,Multi-Racial,24,617,2,8.3,1,4.2,7,29.2,14,58.3,21,87.5
01,3,2018,Native American,11,580,7,63.6,3,27.3,0,0.0,1,9.1,1,9.1
01,3,2018,White,137,612,15,10.9,21,15.3,38,27.7,63,46.0,101,73.7
01,4,2018,Asian,146,618,10,6.8,17,11.6,29,19.9,90,61.6,119,81.5
01,4,2018,Black,129,584,74,57.4,31,24.0,11,8.5,13,10.1,24,18.6
01,4,2018,Hispanic,294,591,113,38.4,93,31.6,52,17.7,36,12.2,88,29.9
01,4,2018,Multi-Racial,22,613,1,4.5,5,22.7,4,18.2,12,54.5,16,72.7
