Administrative District,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Neither Female nor Male,% Neither Female nor Male,# Asian and Pacific Islander,% Asian and Pacific Islander,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
08,2020-21,"25,731",738,"1,635","1,601","1,759","1,773","1,811","1,908","2,045","1,981","1,914","2,045","1,723","1,855","1,534","1,409","12,603",49.0%,"13,128",51.0%,,,"1,713",6.7%,"5,266",20.5%,"16,661",64.8%,167,0.6%,304,1.2%,"1,549",6.0%,71,0.3%,"5,869",22.8%,"3,523",13.7%,"21,565",83.8%,84.1%
08,2021-22,"24,338",879,"1,605","1,533","1,627","1,664","1,700","1,752","1,836","1,830","1,933","1,848","1,681","1,545","1,559","1,346","11,950",49.1%,"12,388",50.9%,,,"1,773",7.3%,"4,775",19.6%,"15,918",65.4%,150,0.6%,276,1.1%,"1,383",5.7%,63,0.3%,"5,526",22.7%,"3,537",14.5%,"20,119",82.7%,82.6%
08,2022-23,"23,814",932,"1,639","1,527","1,510","1,602","1,613","1,693","1,726","1,710","1,815","1,919","1,640","1,664","1,456","1,368","11,708",49.2%,"12,104",50.8%,2,0.0%,"1,795",7.5%,"4,601",19.3%,"15,333",64.4%,150,0.6%,276,1.2%,"1,349",5.7%,310,1.3%,"5,552",23.3%,"3,457",14.5%,"20,198",84.8%,84.9%
08,2023-24,"23,725",909,"1,566","1,524","1,554","1,530","1,631","1,656","1,711","1,660","1,754","1,893","1,832","1,662","1,511","1,332","11,693",49.3%,"12,029",50.7%,3,0.0%,"1,874",7.9%,"4,510",19.0%,"15,516",65.4%,172,0.7%,289,1.2%,"1,323",5.6%,41,0.2%,"5,663",23.9%,"3,697",15.6%,"20,671",87.1%,86.3%
08,2024-25,"23,196",912,"1,634","1,518","1,535","1,512","1,539","1,612","1,654","1,601","1,660","1,733","1,650","1,696","1,598","1,342","11,415",49.2%,"11,776",50.8%,5,0.0%,"1,957",8.4%,"4,411",19.0%,"15,086",65.0%,173,0.7%,284,1.2%,"1,244",5.4%,41,0.2%,"5,461",23.5%,"3,630",15.6%,"20,225",87.2%,87.0%
09,2020-21,"31,124","1,173","2,039","1,761","2,077","2,149","2,280","2,332","2,409","2,216","2,402","2,448","2,119","2,156","1,816","1,747","15,491",49.8%,"15,633",50.2%,,,426,1.4%,"8,290",26.6%,"21,467",69.0%,120,0.4%,198,0.6%,423,1.4%,200,0.6%,"7,025",22.6%,"6,580",21.1%,"28,791",92.5%,93.8%
09,2021-22,"28,491","1,334","1,899","1,726","1,741","1,898","1,981","2,028","2,096","2,022","2,067","2,270","2,050","1,839","1,832","1,708","14,064",49.4%,"14,427",50.6%,,,353,1.2%,"7,590",26.6%,"19,776",69.4%,95,0.3%,181,0.6%,391,1.4%,105,0.4%,"6,547",23.0%,"6,228",21.9%,"26,015",91.3%,92.3%
09,2022-23,"27,028","1,269","1,723","1,705","1,768","1,712","1,800","1,939","1,980","1,927","1,983","2,052","1,960","1,933","1,639","1,638","13,316",49.3%,"13,710",50.7%,2,0.0%,310,1.1%,"7,086",26.2%,"18,701",69.2%,98,0.4%,187,0.7%,375,1.4%,271,1.0%,"6,396",23.7%,"5,814",21.5%,"25,333",93.7%,94.2%
09,2023-24,"26,460","1,189","1,731","1,586","1,755","1,782","1,717","1,841","1,926","1,819","1,923","2,031","2,067","1,886","1,691","1,516","12,937",48.9%,"13,519",51.1%,4,0.0%,304,1.1%,"6,800",25.7%,"18,656",70.5%,127,0.5%,206,0.8%,345,1.3%,22,0.1%,"6,474",24.5%,"5,829",22.0%,"25,148",95.0%,95.4%
09,2024-25,"25,404","1,148","1,536","1,530","1,638","1,667","1,775","1,725","1,845","1,685","1,788","1,963","1,854","1,972","1,665","1,613","12,347",48.6%,"13,055",51.4%,2,0.0%,259,1.0%,"6,621",26.1%,"17,820",70.1%,131,0.5%,209,0.8%,344,1.4%,20,0.1%,"6,287",24.7%,"5,694",22.4%,"24,200",95.3%,95.4%
10,2020-21,"50,700",501,"2,918","3,141","3,407","3,478","3,723","3,748","3,761","3,666","3,541","3,740","4,103","3,921","3,616","3,436","24,881",49.1%,"25,819",50.9%,,,"3,959",7.8%,"7,484",14.8%,"35,213",69.5%,389,0.8%,430,0.8%,"2,995",5.9%,230,0.5%,"10,326",20.4%,"10,298",20.3%,"42,258",83.3%,84.2%
10,2021-22,"48,016","1,634","2,767","2,870","2,988","3,105","3,165","3,446","3,403","3,234","3,351","3,379","4,090","3,754","3,525","3,305","23,573",49.1%,"24,443",50.9%,,,"3,771",7.9%,"7,067",14.7%,"33,163",69.1%,445,0.9%,398,0.8%,"2,983",6.2%,189,0.4%,"9,643",20.1%,"9,656",20.1%,"39,063",81.4%,82.0%
10,2022-23,"46,014","1,697","2,756","2,685","2,840","2,900","2,968","3,084","3,296","3,055","3,056","3,309","3,941","3,832","3,455","3,140","22,593",49.1%,"23,415",50.9%,6,0.0%,"3,504",7.6%,"6,721",14.6%,"31,604",68.7%,463,1.0%,353,0.8%,"2,874",6.2%,495,1.1%,"9,462",20.6%,"8,916",19.4%,"38,400",83.5%,84.1%
10,2023-24,"44,968","1,652","2,757","2,636","2,705","2,794","2,876","2,964","3,114","2,992","3,059","3,110","3,858","3,818","3,496","3,137","22,127",49.2%,"22,832",50.8%,9,0.0%,"3,504",7.8%,"6,476",14.4%,"31,205",69.4%,490,1.1%,372,0.8%,"2,833",6.3%,88,0.2%,"9,441",21.0%,"8,752",19.5%,"38,470",85.5%,85.2%
10,2024-25,"44,138","1,702","2,721","2,550","2,663","2,669","2,749","2,849","2,918","2,889","3,002","3,129","3,803","3,799","3,455","3,240","21,581",48.9%,"22,552",51.1%,5,0.0%,"3,358",7.6%,"6,402",14.5%,"30,643",69.4%,513,1.2%,366,0.8%,"2,752",6.2%,104,0.2%,"9,194",20.8%,"8,599",19.5%,"37,484",84.9%,84.7%
11,2020-21,"36,222",75,"2,478","2,360","2,520","2,788","2,743","2,774","3,001","2,888","2,935","3,167","2,421","2,301","1,951","1,820","17,372",48.0%,"18,850",52.0%,,,"3,335",9.2%,"13,039",36.0%,"15,745",43.5%,298,0.8%,459,1.3%,"3,264",9.0%,82,0.2%,"7,478",20.6%,"4,357",12.0%,"29,200",80.6%,79.5%
11,2021-22,"34,491","1,122","2,380","2,277","2,321","2,336","2,575","2,576","2,589","2,681","2,748","2,832","2,413","2,018","1,872","1,751","16,556",48.0%,"17,935",52.0%,,,"3,217",9.3%,"12,228",35.5%,"15,028",43.6%,302,0.9%,420,1.2%,"3,159",9.2%,137,0.4%,"6,912",20.0%,"4,211",12.2%,"27,184",78.8%,77.4%
11,2022-23,"33,421","1,239","2,411","2,286","2,362","2,329","2,291","2,536","2,533","2,424","2,678","2,747","2,015","2,155","1,722","1,693","16,120",48.2%,"17,297",51.8%,4,0.0%,"2,987",8.9%,"11,536",34.5%,"14,631",43.8%,300,0.9%,410,1.2%,"3,211",9.6%,346,1.0%,"6,896",20.6%,"4,150",12.4%,"27,210",81.4%,80.9%
11,2023-24,"32,967","1,290","2,197","2,297","2,450","2,378","2,362","2,336","2,604","2,521","2,486","2,733","1,997","1,933","1,877","1,506","15,841",48.1%,"17,122",51.9%,4,0.0%,"2,985",9.1%,"11,202",34.0%,"14,787",44.9%,327,1.0%,441,1.3%,"3,189",9.7%,36,0.1%,"6,970",21.1%,"4,454",13.5%,"27,896",84.6%,83.1%
